SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768
8247308,16054188,34504202,67213494
8219394,15999032,34518341,67296993
10745258,15987097,34543742,67227728
9484723,16074809,34496653,67343681
9443787,16095784,34506129,67421788
9795838,16015399,34582672,67357138
9374818,16097220,34507114,67512432
8363246,17865574,34487127,67410333
8361012,15990919,34407608,67439231
8318606,16117685,34512743,67479221
8331945,16101083,34525197,67457258
8240566,16036144,34586911,74692852
11801220,16043877,34409062,67438506
8320284,16056552,34586629,67561143
8317126,16068172,34495643,75171588
8238860,16118102,34974690,66536724
8310949,22614929,38396447,66686430
9297506,16139463,34452715,66798704
8191610,16075985,34457175,66844502
8847743,16054985,34439450,67002537
8173906,16062328,34475506,67168024
8540539,16040260,62589172,66924130
8440210,16064826,60189726,66544105
8242153,16083167,43990461,66795528
8241889,16053767,34342175,66787768
8176029,16132185,34491034,66685662
9020685,17372871,34471814,69550946
9082577,33973006,34426737,66579478
8157021,16086618,34537299,66662044
8038818,16069625,36620287,67081873
7942729,16088904,35163972,66758986
8430802,16099108,35184987,77778538
8489937,16080911,35107625,66457910
9156826,16085012,35113142,66507269
8232259,16130099,34807377,66611720
8198413,16044956,35103854,69300143
8198349,17206652,35099896,66185269
8161442,16179573,35111976,66450994
8081768,16210380,35006182,66842629
8122625,16096491,35073693,66694832
8056551,16147238,35045367,71365325
8058323,16164729,35072352,68608980
8079244,16089823,35100110,66787886
35432412,16107669,35079247,66798536
8098848,16151769,36782757,67656861
8085640,16102459,34664412,66735278
8251732,16181914,34240787,74519790
24965333,16090245,34638469,66762003
8547355,16079091,34569602,72194251
15494009,16156905,34651112,67538216
8212734,16141756,34561015,66572857
8101964,16115704,34525999,66334547
8066825,16165274,34705984,66642140
10527063,16184048,36279058,66531236
7925628,16084683,34734068,66968748
8202463,16127568,34826310,84784969
8081639,16132972,35713798,65742206
8001669,16058758,34996599,66106905
7987255,16201205,34694419,65914942
7939204,16105280,34569697,65543821
8617893,16140502,34622833,65666989
9450289,16108399,34423511,65977082
9439065,16125753,34664006,65923024
8005249,16096472,34593010,82073243
7912667,16442472,34772474,65892406
7890060,16125290,34636415,65906189
7913738,16052818,34567413,82191579
7795882,16121132,34517354,79175413
8085014,16119756,34545101,65774819
8068970,16091408,34627209,65998949
10811220,16161055,34657933,66003807
7974434,16044064,34621700,66619881
8035308,16066497,34860434,66173814
7981356,16172536,34638788,66150053
24527293,16250696,34890898,66093764
9206788,16062540,34361469,66229699
18448089,16141946,34717136,66367820
9801001,16379319,34578671,67834224
16361190,16075050,34587539,66415798
8369610,16131951,46032263,78614030
8321146,16084195,34630635,66601218
8226600,16417549,34702162,69870869
8091973,16107431,34477246,66498672
8370825,16207691,34672186,68334273
9558428,16157907,36028284,66343147
9475909,16046500,34660213,67472235
9169485,15967250,34851378,82997502
8122781,16125775,35453521,72953863
8180846,16123933,35276517,67713418
8210723,16097444,35323022,72149141
8179344,16276976,35357339,67446850
8174524,16200638,35244812,67319325
8162339,16060554,35159450,67606727
8246835,16107528,35327601,67904873
8210306,16019654,35290559,66600203
8146933,16073979,35279521,83080114
32848974,16094394,35223071,66686648
13457118,16002387,35366294,66627030
8228364,16011285,35246440,66277536
11525419,16020312,35362290,83355513
35996688,16107521,35356222,68516882
8304132,16123109,35229219,67042327
8138014,16072757,39327921,70688560
8219707,16086362,54692988,67704228
8104950,15999169,60825755,69930695
8145782,16849794,42884856,70929485
8083490,16037576,34763075,68077422
8187973,17143851,33952917,66665337
9380376,79783183,34155834,74670034
9349667,17488566,34209203,67601189
9414345,16095036,33971523,66682372
9546359,21902547,34864184,68080398
14729819,37368348,34204690,66491578
30776027,15979145,34077388,66198768
9463158,15961776,34277813,66426466
9478319,15893861,34182753,68103302
9524453,41730468,33885082,66644076
9539172,15819586,34216533,81204751
9575542,15972426,34256501,66805638
9470978,16346575,34278878,66895240
9460417,16014045,34431529,66774563
9482022,15919759,34272010,66809572
9478392,16022022,34260432,66958708
9597181,16029331,34293992,67189792
9540424,15952118,34336880,82416540
9442303,16045491,44586393,96859931
9508312,16015082,34337001,69394772
9488487,16010852,34311096,66450568
9579834,16031355,34298113,66275686
9599166,15997548,34314860,66413580
9499289,15994911,34259089,66635441
9528063,15997137,34310044,66533895
9585770,15947121,34292381,66693231
9430866,15979323,34285480,68240260
9432972,16013157,36213245,69988644
9439082,16015742,34262984,65771854
9471231,15950291,34258715,65869856
9573672,15965235,34245855,65861988
9611422,16063361,34326516,65677282
9600630,38138024,34442553,65729944
9604360,16074663,34235904,65776455
9536546,16073105,34300202,65777543
9511191,16062814,34200600,65722871
9515656,16078619,39895706,66809387
9626130,16037530,34042839,69050706
9549680,16163461,34009410,67190373
9272604,16034749,34067753,67106373
24582655,16036072,34024135,67233911
11885285,16162360,34714469,69074819
9340964,19931345,34622116,67010519
9390801,21941879,35222670,66205646
9352517,16099510,34574089,66502880
9399569,16049644,34656725,70172825
9248515,16028088,37328454,68334601
9420959,16070730,34534585,66315893
9387790,16120691,34517936,66062924
9419555,15991304,34645685,85203210
9365221,17482229,34511021,66376546
9352851,16041362,34518864,66749097
9380794,16007301,34606514,70089358
9352182,15956925,34656450,66628084
9386615,15900988,34573959,73243624
9381950,15942880,34588788,66629655
9384879,16064737,34567616,76377077
10826668,15903262,34599010,65472639
9342822,16000434,33863696,66134635
9484659,15971192,36963325,66066699
9459056,21746215,34033899,66016712
9475949,15977666,34013442,65923810
9488397,16037450,34043438,65953096
14964222,16067229,34003258,65977300
9608094,16025678,33883862,66704540
9515040,16016508,34096806,78682355
9451146,16081097,34008882,73667426
9468777,16075367,34040510,66430320
9454285,16056591,37777770,66436224
9431863,16034697,33952869,75778857
9394469,16045676,34071060,66243735
9351245,16040172,34006636,66303879
9518662,16022049,33702956,66278168
9889852,16076046,34112564,66273690
9361811,15989300,34018961,75763612
9558952,16070178,34017439,66196819
9480556,16001300,34509892,71586980
9666511,16070629,33964295,66253373
11053544,15938726,33943906,66806722
9577852,16086890,33949468,66298729
9448499,16023803,33990349,66279834
9458591,16018980,33976262,66346827
9484549,16049761,34067875,67372783
9409428,16096516,34038143,66457538
9435165,15998383,34018672,66289892
22622212,16071344,34119635,70571624
9536940,15999796,34011823,66151125
9423885,16140639,33970028,73113317
9465248,16003887,34066602,76428135
9365406,16102042,34024928,65989182
9398916,16067770,34041355,65923646
10025372,16013441,34422975,68222367
9488084,16016193,33992955,66805604
9407204,16018443,34011989,66698864
9408132,16027867,34178949,66623277
9646726,15972871,34000538,66561396
9407870,16020412,33963943,66766748
9486007,19736373,34048694,66651313
12223920,22605015,33962502,66802560
9437209,22177065,33970035,66594383
9548839,17343580,33968299,65834127
9527993,16024452,34728949,66879976
9441273,16076851,34629132,67831251
9454891,16033123,34507246,66681688
9513282,16011109,34650342,67511050
9523464,34355459,34694721,66417685
9370747,15992658,34641105,66505618
