x86 inductor 4096 no dequant,x86 inductor 8192 no dequant,x86 inductor 16384 no dequant,x86 inductor 32768 no dequant,x86 inductor 65536 no dequant,x86 inductor 131072 no dequant,x86 inductor 262144 no dequant
16021590,27400218,49824755,88951823,150083159,293444556,683834850
16068913,27373749,49718278,88893835,155482711,281524119,577096557
18508849,28928300,49810387,88620295,161142728,278313833,683718332
16038776,27312301,49674667,88681644,165781972,270989863,684173976
16024227,30204385,50013180,89037138,162714608,253499179,664620002
14254081,27487071,49779279,88490058,163620405,261608662,684542834
12796304,27380383,49805187,88712803,166136090,268634547,659743639
12845978,27447998,49781061,88922765,149781479,273655797,718377514
15910184,27276167,49680537,88461340,149466776,254473754,584148483
15223911,27321625,49748791,88519150,163127022,273901928,725475305
13373837,27411295,49916692,88604578,164219590,293735904,826705212
12133645,29147996,49784917,88723400,156422150,277885563,669966671
15770782,27381721,49828287,88975854,157748390,284301733,686360673
14132764,27394602,49848369,88654988,162994816,264186709,556779625
12853138,29689000,49729282,88493066,156957555,226282623,710269130
15531714,27467310,49712537,88877436,158591843,256690742,698714017
15026859,27366138,49767050,88766248,163506411,293692840,716843768
16426306,27248843,49869267,88729767,166386500,281418495,709847806
15927141,27532342,49741538,88436449,151427880,287321831,665480416
15848798,27364090,49911507,88608000,162676685,268578856,656573894
14112861,27297150,49703697,88964249,154202019,272448330,697586328
16649660,27418561,49849283,88507701,165205196,269343965,668519636
16035682,27422456,49904487,88840537,162839320,285834096,705389060
14170935,27364171,49662955,88759725,155237577,294598929,740345527
12744454,27309887,49740715,88746751,161839390,271387629,711988926
15941658,27326007,49774924,88877270,165109323,287196095,691784845
14208774,27337113,49820643,88619725,164100705,289122291,765946885
12750675,27379845,49796616,88790991,162104692,266930841,684338395
15696136,27333812,49828366,89067833,162684237,268985582,740163173
13657124,27169074,49592338,88378416,158252885,260904927,727092170
15752570,29840190,49670971,88582601,152851958,290503955,675580668
15628217,27519355,49794543,88615779,157966383,283027427,700470126
