FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
22996,77352,82777,97475,139265,164534,185793,373672,854155
22740,80564,81827,104368,135850,174372,183933,353495,858294
22900,78838,82045,98080,130817,164060,183313,356571,870921
22259,76908,83094,95541,130043,164630,186124,350025,764363
21847,76955,82548,101241,125641,168835,184140,343063,862770
22022,76631,82160,101398,129447,164716,183490,510537,854881
21745,77475,82297,99082,129869,164786,183641,345774,841680
21787,76767,82041,97992,129625,166697,178786,345418,790905
21952,78240,81440,102542,132264,165731,178104,360153,822422
22869,77047,83542,98964,139239,164853,183098,358280,780086
22496,76986,82959,98145,138472,176635,180720,355515,827234
22666,76262,82575,101516,140108,165599,188278,353050,852100
22096,77952,81833,99620,138986,167263,186565,359516,822934
22037,77188,82807,98857,132046,164008,184049,336250,893221
22617,77257,81505,97980,138046,175152,185036,341237,837946
21863,77120,83607,102535,123317,174098,186707,367132,861326
21504,75707,82263,100792,129491,164860,399391,362880,861995
22895,76295,81897,97884,128464,173575,231675,336050,838338
23167,76184,81699,99955,136726,165312,203321,334165,854369
22570,77178,82337,99419,133687,165357,191128,338677,920710
22180,76765,82574,97575,138925,173335,190588,558015,875331
23283,76821,83093,95861,134825,163713,191894,377557,829622
22410,78940,82746,103156,127347,180195,189383,391984,842849
22894,77822,82160,97933,126629,175209,187554,431236,831327
22555,77989,82279,98263,128044,166066,181729,362778,806367
21448,76431,83451,104025,125083,166172,184204,376732,823752
21767,76701,82733,98065,127749,173849,183808,366442,838544
21780,76803,84914,96942,124322,167375,190957,371129,789601
22243,76346,85262,102674,130874,171295,180839,359556,786094
21801,77463,84458,100694,127666,169972,180608,343296,861754
22029,80365,82528,99742,129792,164407,188903,339413,839536
22831,79764,84098,99204,126986,178945,181008,343140,895714
22690,80883,81989,101854,125179,169509,185547,346552,830628
22024,77787,91843,97451,131584,164736,184188,362716,822933
21618,77019,83322,96764,125208,173869,180255,348859,850817
22135,76811,81771,101962,126907,165249,182849,603862,844135
22347,77017,82060,97361,128679,164690,182470,387503,834491
22034,77796,81370,97108,124398,180527,183337,346445,837941
22353,76602,82292,106069,126614,165577,185184,347323,848580
22057,79698,85280,101322,128439,171839,186138,339169,835928
22610,78848,85143,99472,136365,163208,188862,348000,843986
21560,78770,82562,96123,127529,163438,187298,343447,831792
23841,78337,82566,98909,134760,163369,188854,348781,827168
22915,78741,82522,98030,139406,164045,186412,353401,855598
22586,76481,81966,103161,136627,165698,189091,344487,843260
23804,77671,83177,99162,141997,164235,190775,355946,838660
23365,76869,84152,97832,137496,165045,187737,353919,837164
23518,76555,82784,99730,134692,174531,186587,348705,849117
23770,77305,82226,96714,130079,174118,184086,346642,861241
22645,76935,81794,101796,130275,164546,188795,375397,870606
22878,78272,81980,97331,126411,164726,185050,343846,865697
22602,76425,81534,97694,136490,164594,183261,341368,856141
22206,76414,83588,99969,133710,165663,183314,526232,859379
22867,77703,83259,96805,142710,169072,182519,371848,847576
23253,76722,82535,99281,139881,165124,196548,373066,837487
22688,76681,83149,106464,133398,175322,187596,350908,807441
21618,76793,83096,99785,141411,164851,184371,342691,834017
23194,76860,107809,97122,135837,164835,182932,338358,842375
24370,77221,85748,96072,134082,168186,178824,343582,855676
22730,77315,82920,100381,125207,165016,181106,341004,862761
23662,77395,81879,95417,133735,165643,181196,342153,835151
