FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
13400,26561,31833,42568,72358,132827,168976,343952,756736
13557,26706,32199,43270,73920,131889,166061,353650,786964
13410,26754,32975,41094,66293,131228,169862,347262,934085
13186,26050,32609,43763,72744,130858,173123,353158,789154
13623,26542,32152,42089,68434,143200,173514,498274,805232
13403,26117,32225,41460,69353,133221,175716,331862,823869
13347,26477,32178,43657,75244,131766,182185,349876,803590
13621,26446,32572,45253,78172,130847,182183,351836,814474
13245,25951,32159,43319,70580,131869,178328,361190,830146
13268,26651,31924,42157,73807,134731,175260,374420,779776
13883,27290,32109,46865,66160,131236,167102,348386,796574
13216,27178,32186,45713,63421,135721,169471,352195,819438
13440,26873,32292,43164,62253,131776,171730,353729,809661
13567,25702,32003,41374,60856,130709,179550,335154,801403
13643,26157,31731,41992,63861,134329,174235,339845,871952
13673,26342,32859,43210,65638,129957,174819,349769,850639
13555,26542,32074,44985,67843,133279,172715,345539,824628
13271,26457,32515,45982,64988,129887,173688,344181,797492
14016,26058,33053,42856,62997,130317,178921,336196,823937
13659,26224,35812,42754,59240,137634,169527,332735,809968
13372,26539,33610,41447,60710,142923,175353,491570,879752
13428,27045,32977,40528,60469,131568,190065,324727,832574
13397,31086,32742,41708,69714,129252,174132,358901,822706
13412,26227,32517,43017,67329,132302,172762,358795,817650
13699,27370,31839,42647,67009,129024,168638,352192,816025
13348,26777,32510,43124,79979,139993,172867,353615,816840
13260,26715,33025,44209,87558,133529,168905,340232,768049
13460,26554,32210,43980,84248,136062,171476,352575,814001
13256,26820,32377,43965,79682,132147,173853,336637,804779
13725,28044,32439,42257,83149,128481,171929,357100,821387
13864,27422,38881,42414,79864,137071,178645,353869,821124
13479,27314,40966,41894,77670,131380,177725,358824,827424
13397,26489,36608,43341,79275,130933,179594,335484,826656
13525,26072,33761,43254,76294,131273,173710,347818,828160
13644,26507,32267,44008,114460,140342,176775,499373,835903
13485,26824,32129,43748,88069,143546,174614,351325,827515
13873,26570,31381,44637,89380,167972,174022,354049,865340
13569,26515,31634,44018,91917,134046,171276,334419,855350
13400,26461,30625,43935,94410,124191,173813,333162,828059
13417,26584,31849,44446,88600,124698,173308,351739,801079
13271,26805,31756,43440,80594,123133,172065,360963,845925
13324,26568,31282,45519,86322,122322,173623,349560,835273
13360,26867,31565,42329,82010,115770,190967,356175,823034
13380,26467,32916,42015,80647,110147,178746,338852,801241
13624,26988,32704,41908,83694,112768,171282,331642,798187
13629,26428,31519,40397,85217,109690,175924,355485,829373
13468,27019,31606,43175,84838,111394,169884,351295,750527
13177,27178,31596,42974,86552,91556,175543,338346,820678
13513,25748,32785,44128,79027,92425,170791,344196,715392
13363,26847,32370,43932,78735,94748,169019,548429,813790
13217,26543,38141,43698,83906,96623,176079,371707,761792
13412,26319,33262,43661,83292,95327,167694,357406,808391
13328,26699,32684,41612,79477,101929,173031,353276,825244
13412,29182,34060,41773,81170,96128,169117,346484,790809
13315,27252,32864,43686,83450,99206,372426,347007,816402
13549,31381,32079,42225,81923,102276,169242,350798,771520
13349,29391,31868,44045,87356,100934,177561,367471,807585
13433,29845,32416,43864,85045,112740,169666,338349,839323
13248,27378,32306,44465,83031,107002,166585,341156,837868
13169,27106,32202,42761,69837,102744,172212,342142,828402
13459,27030,32293,40580,63382,108057,170502,341385,838397
13261,26311,32365,40781,114190,99855,169400,330394,870308
13322,27130,32153,41347,382856,105531,171415,333203,827474
13552,26896,33287,41410,404631,106930,174675,345186,813761
13876,27137,31663,42445,86329,101146,172358,346127,817924
13363,27950,32146,43094,89178,106433,174497,515017,833701
13480,27127,32197,45201,79968,100422,172291,359743,874580
13292,26692,31981,45276,400650,105697,172615,362470,816646
13416,26487,32441,42439,92770,103701,174781,360920,811804
