SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288,SHIR FPGA b1048576
180527,212999,224036,257480,300105,394100,710845,1078504,2015231,5511522,8612162,17239208,31213523,74849214,168599511,225911572,444928854
189593,201253,236511,257664,309730,387653,728850,1116424,1999105,3937343,8115362,17147866,31258496,74649743,172285617,225579251,448770302
183476,213765,233301,262398,306513,394299,743479,1444418,2134702,3995030,9326728,16605958,31238607,74796565,189252034,226731320,433010902
178060,205411,226057,257567,302156,402943,727598,1115393,3387677,5623056,9455544,16853196,31292036,73752832,211932305,226132024,433235061
190024,204800,227718,260402,4167728,383399,684074,1101337,2067284,3939399,9459133,17245137,31314413,74618414,164677298,225906440,441910042
182792,205356,237273,277730,428934,383007,764859,1070961,2060658,3906086,9566208,17083719,31283412,74798006,166032930,225406123,437042852
184359,203965,238754,261145,321660,396591,741755,1084167,1975800,5544102,9638948,17228175,31328803,74640952,166148464,225527064,427216314
187587,206748,224592,260134,322186,386601,692427,1084215,2023598,3879576,9504402,16851344,31314199,109396341,167662135,226919729,445133716
182351,204914,224834,258987,302997,11191862,734022,1098808,3405849,3940366,9782898,16661455,31152576,75005659,164039076,224896745,434817337
181140,213716,228958,256034,313816,375310,691800,1122679,2096897,5532365,9768716,16920218,30661105,74648009,166923038,225839848,427870241
188370,206677,243215,259518,318752,378593,701464,1094944,2095271,3885768,9460613,17311145,30470618,74362786,163566065,225281784,445442654
181897,212573,235327,256975,306832,387821,723494,1345244,1991272,3988905,9439569,17267146,30420361,74958193,180966892,226356828,437896497
179791,202892,231665,260098,298053,385955,706340,1254545,1971296,5587054,9475441,15329129,30573835,74412419,172778652,225505203,445345461
180863,204515,236022,259078,309682,383243,742475,1117539,1963823,3841079,9598876,14137773,30621311,74760373,164186898,225263475,430413357
180770,205707,223828,284201,306270,383989,702406,1119167,2093859,3942898,9490037,15985091,30560393,74543722,170113068,225504508,456849664
179176,206775,224965,273539,327621,392341,747288,1080551,3528093,5609684,10230452,15337731,30479161,75040387,172592502,225281808,445085905
181449,209086,225761,255976,315296,365051,719992,1114482,2096995,3911408,9663681,16100655,30646549,74550190,163045124,226268061,448507429
180994,210486,227689,259513,308856,368805,937322,1140915,2067789,3977134,9953714,17196131,30680181,74628669,165414624,225529142,440941896
180926,215786,268971,257715,300353,383306,750838,1104861,2066439,5557140,9463322,20685264,30907208,74963643,172628743,225562336,444785784
179077,207948,229025,259103,304349,377364,710261,1095391,2027538,3820764,9352003,17222495,30697166,74746379,164278474,226287984,440295361
180559,210551,227637,255882,302265,370064,703037,1145735,2092522,3857336,9434416,16675513,30567660,74633507,190656211,225760959,439463845
181400,206938,236905,262865,307596,373793,706251,1178680,5797102,3881660,9365239,16929602,30626199,75294379,179366725,228182572,445707013
178585,205205,229111,264716,297977,370803,716394,1184294,2082670,3875985,9385883,17286816,30575436,73828720,176109987,224939423,437887937
181052,205698,232237,263102,307791,369052,718296,1121943,2019528,3890545,9434223,16887471,31512269,74649871,170793923,225439133,436826134
180868,205184,224596,263491,299465,363244,709185,1148295,1960260,3911782,9416060,17250108,31349905,74740071,164277022,225202986,445213757
181006,210043,221178,278130,303295,379108,703680,1134391,1995894,3868305,9504096,16929129,30705717,74225180,163336299,225629142,444613634
182184,210720,232092,266197,307851,372512,708793,1109320,2236276,3904073,9478883,17347467,30731277,74431273,168420566,225334821,439468569
179602,217166,232958,267292,327290,387915,699428,1130290,2115097,3879149,9792455,17002974,30710938,74209617,217937481,225419714,444536907
181656,208011,225060,261952,297399,378385,688360,1225054,2065258,3831343,9390478,16932525,30718186,74355927,183337373,225412292,437697691
