FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
30308,36446,58544,62877,98701,108429,261019,323649,450823,1004568,1772567,2673169,7673834,13940788,30096886,36377348,86763501
29104,36278,65263,68426,100981,115669,300083,353342,465294,918943,1714095,2680832,7788372,14263829,23565411,64884919,87086865
28865,36532,58079,70896,105971,113315,271379,343859,597299,897800,1673560,2639858,7788503,14140335,23541507,62495830,86814797
29319,37107,59382,68730,99924,129168,327525,334883,561558,918711,1717956,2621846,7712616,14233030,41453618,40754740,86974550
29460,35865,58756,67243,98852,128001,275018,458352,494725,871340,1645647,2652421,7740545,14213262,23430860,61940131,88799124
28688,35626,58985,63703,100228,134306,209964,289870,469345,971717,1715358,2630588,7759665,14206837,23513590,62378276,89441085
35499,36695,57159,68948,102513,109011,303988,284526,492810,915655,1666458,2629068,8005471,14213674,23479632,60050912,89072066
29610,36214,59447,67970,98368,106572,269559,273285,475492,857391,1747720,2689078,7740507,14279020,23512226,59808160,89314644
29208,35941,60915,69177,97711,129887,334077,275096,611015,972646,1685464,2670798,7700741,14214785,33029880,54524179,86189946
28952,35957,59475,64273,99572,118617,304620,331166,562947,910059,1733544,2630200,7707099,14177855,42223739,58450581,87079953
28836,36933,58754,67629,98528,108444,227466,334489,492864,854804,1699719,2610182,7723293,14178510,40751049,51685257,121005915
29192,35955,59456,64231,98965,107475,229380,355957,518447,959236,1750641,2646990,7743435,15001621,23561100,51512124,123157430
29130,36380,58421,68962,105428,105051,349761,372127,460554,894638,1702107,2637379,7698726,14593128,23367981,49604903,124011862
30116,35615,68485,63794,102301,123131,268118,380367,460416,968447,1707302,2685659,7765649,14989792,23704119,48815458,124278126
29218,36683,59055,74180,100375,124404,239400,313939,594149,899684,1702363,2711842,7782705,14936258,30358195,47721933,124309531
28822,35699,61398,69357,97736,104986,227200,350518,560963,896775,1723145,2642175,7698263,13557533,39702811,48031558,83960492
28862,35441,58937,68284,97667,99283,256425,341859,486430,975920,1667109,2698059,7750247,13696456,23411165,46434764,82383680
28717,35554,59111,68469,108350,113668,302738,350833,478557,863668,1692054,2633280,7784403,13614557,23494766,46257740,123989161
28829,41494,57289,67577,99490,107416,300565,342519,461090,921000,1692865,2633281,7741643,13641461,36404924,45443937,123952985
34707,35644,58818,70033,97542,105848,289084,333117,474568,978117,1680289,2646318,7802439,13577219,23770537,50933900,127052070
30554,35487,60202,67039,101616,101333,299264,346828,618376,920223,1700530,2659561,7781216,13691545,25357993,46770508,123080773
29113,35421,58798,79277,102400,123978,288987,416446,546711,875249,1705860,2701918,7735040,13519262,25289376,49585975,80157038
29289,35370,57367,68264,99948,105512,263883,294662,449811,968215,1728209,2663567,7768611,13620016,33438865,48270517,121388094
28776,35932,57482,63386,97446,108119,334949,385189,500560,881085,1707735,2647174,7803008,13623451,44335511,44814862,81735457
28907,35722,59127,68867,100674,400608,285628,327385,457924,875243,1697896,2664237,7435108,13590396,33604220,44246848,87016571
30485,35512,58620,69206,96578,146860,294040,403553,432328,957831,1746721,2654767,7532629,13606818,27009515,44482051,94757000
30533,35826,57886,68582,117110,143682,238305,304178,611248,920174,1750846,2665014,7547794,13540814,26047261,47376959,110302016
30005,36865,59647,67953,97320,131902,295330,379647,569004,881253,1707667,2678882,7486945,14091470,27381967,43119026,111020974
29961,35974,60420,64162,96937,125898,331224,352738,506552,990161,1721338,2637042,7534063,15076557,26587500,46484533,113245831
29840,36542,60273,79713,97236,129305,380952,332616,481438,969522,1818883,2676020,7536747,15105118,31183219,47328458,115695954
29785,35833,62246,68815,98030,119137,171781,352232,463746,995416,1846853,2652917,7504568,15004914,26072238,57858956,115683091
29658,38431,58884,66834,99050,129089,167268,362969,451169,1016301,1833903,2643557,7522525,15034457,24615760,39417780,112447641
31103,37972,59334,69204,99360,130882,155105,353742,612010,961176,1826422,2661512,7549271,14966115,29622039,45909223,109048829
