FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
219169,254815,458719,589356,607272,793272,1404971,2054596,4046191
230608,256503,458297,568553,605998,794439,1362463,2119745,4110627
248043,259906,487433,591162,620302,823805,1289215,2056164,3740735
223474,274647,486206,570028,606369,778692,1296867,2026291,3750370
219598,262170,458919,573936,595784,796737,1370245,2071150,5644940
240982,260610,450842,589135,625474,796634,1308979,2040843,5119785
238923,261933,461062,591140,602388,790373,1340895,1993149,6652860
236617,255230,459734,588061,598545,789174,1304222,2162448,4715211
214848,265028,500857,581755,618482,791861,1297125,3181881,4203345
236133,262622,479340,578072,607135,771435,1393054,3663949,4677251
254831,261387,493461,570163,594372,793515,1351087,3644134,6594388
211272,274114,461419,615495,621091,788393,1392638,6399613,5749005
219867,256971,457392,582205,594223,752389,1377256,3036515,4948023
237592,272915,444116,554444,607717,779236,1366240,2102649,4683734
236799,260939,463390,580724,610326,775825,1357808,2685518,4570198
221941,261772,467934,569418,615137,774332,1624197,3666479,6927648
223622,273314,479723,561106,599414,758130,1446247,2122349,6109451
232292,265734,458780,587411,613846,765289,1394290,2062242,7965831
253482,256576,453918,592893,601823,783948,1368078,2015617,4830057
215390,266383,473144,564135,603323,764913,1340418,2010324,4461153
220458,256611,477980,578462,609904,769286,1321759,2058622,3719916
237231,265694,455303,587803,614159,815616,1314860,2017539,3585904
238396,260972,481655,584563,601961,748652,1260714,2513900,5688410
230787,260365,516656,602913,632863,775508,1261225,2988874,6293130
236794,268532,478084,609157,631300,784273,1230516,3467785,4083460
263020,255278,458070,565664,627764,782407,1297844,3088044,3821246
252261,271638,479787,589153,619254,769167,1293060,2091458,3769663
231879,258792,457770,571467,622100,783161,1310104,2812563,3857953
215584,257819,475941,567983,614392,790936,1313768,3784584,5866681
233039,349660,468618,602051,630049,781698,1365425,3050192,6209976
232604,283060,470667,593498,618165,769737,1387616,3731033,3861216
215521,266799,452231,567366,613014,760997,1412312,2062089,3806462
239345,278469,464510,589766,625421,779750,1261217,1940102,5213189
262924,232914,471239,592582,640251,776022,1333408,2421744,6730328
265154,243967,473875,565167,608600,774976,1347628,2219397,3927063
224914,235663,473963,585403,633953,768536,1310086,3838265,5957914
225332,237752,460881,587917,613746,774403,1339780,2695716,6153979
231469,241307,453104,567830,609886,790458,1281668,2505587,5953324
241917,241383,454927,586580,625459,783115,1252664,2180616,5091834
226267,227960,462443,587401,607548,777344,1336478,2086774,4286045
214535,237133,489428,572932,623000,779668,1305093,2021713,5589407
237051,228686,463703,581693,624283,799715,1347563,2307975,4568270
239098,234607,462599,576332,606570,783760,1338757,2048098,4585869
229464,230475,444515,563403,599947,784930,1402576,4011074,3711918
212611,235453,465069,577927,639859,787027,1302103,2616107,4092790
243098,228840,454894,589465,623064,781577,1330027,2322557,4378151
239962,229631,483500,565775,612824,769682,1283971,2065528,6420755
221779,228491,478905,602317,623320,794972,1353397,2016063,4764254
219670,227034,437451,573671,622585,784347,1362903,1977393,3857906
233462,228237,445685,557964,621961,762535,1340966,1994860,3666631
