FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
52939,60040,90308,97943,132753,147862,262545,347223,591629
52558,60872,88583,96995,128010,138203,271598,393427,578710
52766,61038,88411,98300,126178,155985,294449,402107,560078
52322,60539,89496,97851,124651,156112,255090,435936,508398
53329,65941,91136,110772,118423,135748,277425,411038,487749
52592,60781,87850,92290,115875,149338,266423,451389,667571
52434,60885,88375,92035,122444,148835,300843,401450,572750
52590,60784,87935,99205,126656,147917,318380,393250,579417
52980,62075,89078,93885,127377,136187,257131,420554,518908
54532,60344,95677,94510,134283,137456,393442,411395,581270
52944,61121,89058,93979,126232,142897,195038,428180,514427
52558,60986,89699,94194,139816,151985,195464,398914,643421
52524,61109,89686,94742,139439,137287,189694,377599,575600
52831,60487,88779,92825,137551,138263,178029,381754,518477
53036,61004,89260,92876,139156,136436,185956,371950,514447
54435,65844,88623,116376,141957,135970,187055,412480,517889
53025,60995,90701,93344,138076,144216,176075,394814,648834
52754,61799,87238,93407,152671,150263,179188,399436,577972
52519,60429,89533,92609,136032,135555,181605,471785,592786
52073,60802,86037,96836,132080,137614,175246,414904,527942
54157,61237,89433,94759,126456,148796,175099,418239,601451
52684,60842,97069,103189,124224,144408,174260,375806,603062
52918,60041,88786,95157,118948,138640,174214,386363,706346
53618,62036,88748,89636,148029,146090,186940,368716,567602
53124,60683,88239,101819,129868,137270,163373,388781,538198
58327,60582,87612,94482,149568,137280,168647,404484,496559
54543,62358,89056,87173,132450,139260,168841,404579,462269
53201,60787,89717,100174,123220,152518,169124,429338,524613
52250,61741,89623,95276,128853,136760,161466,405527,637326
52643,60279,88174,97598,132758,147416,165060,420831,571613
52539,61094,89530,96135,122562,129939,170495,405906,508159
53558,60984,89222,97036,119708,134356,188917,412583,481948
52679,60284,89944,96882,123060,136979,187081,399043,483236
52638,65175,95220,112325,122937,129367,190612,542686,497188
52476,60349,103216,120240,117565,139666,190883,329241,630888
52875,60636,114444,116492,123259,139644,264425,439418,551200
58989,60416,120580,111985,126683,149111,200267,420696,548783
53155,61511,143991,107205,124417,135820,268308,398969,523637
51860,60857,114184,111215,128598,128689,191925,402927,573750
51986,60231,120022,107390,124589,149927,204159,411280,595575
51585,60021,136750,119605,125247,151056,249120,401152,632341
52657,61336,124178,108393,131832,168263,298914,409762,620053
53445,60108,132292,118795,124793,153708,249670,399742,585001
52789,60719,110323,108797,143213,138955,209699,453663,561799
52876,65972,134810,99730,125572,149672,213828,458225,586767
53032,60817,131174,98025,122711,134684,249436,413813,512263
52959,61201,123532,96488,131765,148667,213830,383062,634973
54116,61391,129713,95910,114873,136716,215141,388982,529355
52095,61557,125395,101511,130944,131349,239772,386723,536019
53001,61413,119781,96373,125679,156083,281100,397824,550695
52825,60248,113995,96592,124116,148894,296221,419766,505052
52615,59756,114509,95810,137663,149356,295269,431217,521477
52201,60887,112460,105962,137056,137306,253211,500145,654420
53830,61514,95357,90602,148138,151367,272391,449843,557799
52796,60682,113580,96084,135318,148464,255961,400785,490425
52938,62239,93831,102525,143403,149126,296134,401512,474292
53026,60770,126975,105930,156880,140844,249637,394966,509513
52149,60309,94980,99530,138902,165706,281579,431613,657916
54527,60599,129300,98214,139131,137116,256065,415309,585506
53574,60810,94897,95241,138966,134789,283905,397745,517829
52507,60437,123697,96660,125845,152102,274772,412988,536073
52256,60142,95435,108394,127727,126211,279776,405130,523536
53052,65922,139661,90557,118864,154715,244565,389500,530610
57837,61298,95462,98548,131290,148097,298101,409404,659456
53333,61684,111748,108127,124724,139459,272160,409199,600070
52533,60904,100148,108870,122460,137681,259736,386224,580790
52877,61758,135742,97493,123617,138442,249807,402977,517762
52904,61144,95422,96534,132469,151996,256290,485389,571795
53480,61039,113511,95700,118197,149114,277974,428479,548839
53561,60383,95632,97611,121310,156730,282290,406904,664124
53046,60852,119410,99564,125051,137656,276574,427876,595380
52874,61343,95771,94165,136374,144978,264606,423717,531134
