x86 fx b16,x86 fx b32,x86 fx b64,x86 fx b128,x86 fx b256,x86 fx b512,x86 fx b1024,x86 fx b2048,x86 fx b4096
950320,1131254,1143404,1166528,1268237,1323632,1530222,5415317,10503309
946005,1124250,1165232,1164966,1286532,1309504,1585905,4875395,6530043
951553,1126031,1142953,1155389,1285889,1338651,1566352,4634326,6817793
946333,1126031,1150890,1180461,1274490,1323600,1537798,4572505,9614235
944742,1127724,1137698,1158100,1275685,1304275,1584645,4490925,6291706
953523,1119537,1169489,1172852,1284402,1339931,1533670,4683507,9347358
943985,1127100,1146883,1156614,1247045,1299246,1537742,4526273,5210678
953004,1125970,1148062,1180847,1267157,1295545,1598657,4523798,9863852
949734,1129927,1146979,1173237,1248396,1337608,1562419,4526646,8359235
952714,1110563,1155321,1182043,1273001,1331974,1622599,4943155,9360089
1193204,1104124,1149413,1161549,1271395,1302953,1664751,4547507,6386252
1087079,1124544,1168184,1169384,1254394,1317947,1643208,4525533,9227763
1084791,1133338,1146806,1167422,1277899,1306603,1606099,4410100,5382775
1082443,1125823,1134883,1180452,1289072,1295286,1709260,4519882,9916604
1089969,1125301,1153975,1159665,1253677,1325408,1611225,2775593,6569068
1088918,1128325,1149589,1162638,1260758,1304101,1566897,6318732,9748699
1081273,1127299,1145351,1148497,1271184,1303397,1644934,4770935,6062868
1088995,1121953,1159724,1173479,1271924,1335436,1579243,5658991,5998709
1084980,1133969,1141375,1165472,1269375,1305283,1565855,4663106,6657179
1079879,1135148,1136448,1161159,1292147,1291956,1634662,5389699,6437185
1083507,1130337,1147173,1156319,1281413,1327733,1655233,4957262,4021632
1091302,1125636,1151868,1166894,1272509,1322560,1635880,2782319,10311345
1088304,1129233,1154543,1149339,1253650,1295422,1680694,5796167,6128851
1090255,1122595,1125555,1166070,1279029,1342273,1639214,4586849,9389907
1093923,1138316,1148412,1164551,1273370,1321416,1574518,5388394,5513680
1088721,1124920,1150275,1184512,1305321,1304764,1746954,4616588,9741950
1068247,1125748,1147781,1163493,1277225,1336544,1612289,5497088,6233260
981059,1110396,1143524,1175126,1300503,1313510,1629420,4568546,9755647
974715,1104699,1146739,1157192,1273295,1311817,1699380,2711962,6397666
979551,1128248,1154528,1178610,1289653,1329519,1659960,5743328,9669866
985662,1129385,1150545,1161879,1287589,1328490,1581341,4470082,6764180
