b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
42759,51991,56224,98479,72692,98769,256199,489750,1483583
43565,50935,57329,86390,73211,101454,264863,454197,568471
44397,49650,57069,69787,74420,100243,249048,393361,600018
48847,50302,56760,65734,80197,98868,260251,391565,1379620
43698,47867,58459,66611,71941,91763,248644,389514,566339
44508,50254,55951,66798,85257,106369,237814,435770,610387
44717,49267,59363,67967,74615,91347,220578,373448,1523411
44682,61435,70580,69936,74368,96208,279491,383728,576021
43732,51043,55711,67818,72783,88203,289042,368877,612039
43969,52939,55549,68805,73168,89427,291652,392506,1417648
44833,49770,56834,68688,72561,86800,268512,358775,551228
52953,49869,69191,75013,71991,89295,244663,465666,630497
44210,52180,66942,67353,75179,87545,317658,362467,1458485
44754,51144,57342,67512,74213,98818,285092,373672,544238
43499,50129,56362,68265,84521,90716,278544,390905,596565
41795,50097,58014,68068,75022,96831,228868,372516,1457458
45355,50342,55877,66503,72633,102026,252450,391058,560299
44221,50131,57973,69986,73402,85108,274147,374250,626474
43813,50815,70343,68536,74084,92297,277877,381598,1486792
43918,49767,59819,69327,73623,97991,341963,451024,585051
44462,49165,56525,69560,83103,90693,236588,334509,613427
42723,49177,56387,69724,71720,88895,209137,380976,1404387
44056,47973,62996,66620,72822,104098,213028,366973,542637
44223,49612,56803,67168,74884,86023,208196,363689,612759
43752,49839,67678,71165,74463,98635,198737,356736,1487458
42696,50489,56855,67268,84279,97752,148937,357454,589918
43428,48929,56862,69411,73427,91539,170222,378013,594952
42759,48765,57503,68042,74398,86200,211355,393557,1392902
42844,49207,60653,69068,74334,89394,248085,370677,526938
42655,49939,58479,68641,88434,96213,213327,388856,603015
43094,47834,56528,68161,73626,100490,214757,368441,1492863
43217,50286,57292,74405,86256,86726,216026,397281,593869
42844,48085,56150,67260,75177,102757,247679,383746,545636
44103,48866,56277,66466,72255,87017,204136,385268,580484
42679,48225,57238,66670,82993,90210,210414,377576,534424
51229,47916,62625,68794,71995,87824,205970,390022,581137
42795,48424,57722,68894,73190,90162,206792,466439,632239
41775,50011,56593,68164,73128,88172,208121,331014,1439554
42262,51510,59023,67750,94442,91374,212426,361032,588882
44396,47865,57239,68541,75771,87802,208842,388464,534635
43208,48495,56623,67834,74056,89719,233647,365845,569751
43203,50185,64592,71571,74941,90208,201497,393652,614855
43971,48568,59738,67805,73945,90425,240841,380230,1480680
43135,48367,63947,68727,72222,88115,145776,359073,567237
42604,55531,55801,68420,73441,91320,214613,382639,535798
46568,49127,57534,68434,73887,102353,190956,382804,552954
44649,49304,57169,69044,72904,90188,167824,393310,631135
