b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
15626,25780,40652,70535,135465,263331,542274,1081253,2117639
16802,25378,39017,70254,132879,270722,536874,1081765,2108577
16773,25489,39505,69811,138386,272273,517338,1078426,2138723
15349,25904,39137,72100,139202,266647,527283,1068659,2137169
15520,24010,37865,69649,132732,271272,540976,1049759,2120073
15216,25765,39810,72340,133411,269076,537309,1066601,2103733
15295,24389,38525,69421,136882,268186,553146,1067312,2119678
15316,24540,38358,70130,135689,269429,534236,1050484,2108862
15259,24295,37799,73431,134232,262626,537887,1060770,2140906
15439,24370,39431,75334,137675,279380,535369,1088379,2144077
15244,24473,38138,69499,138479,268675,536246,1092482,2111683
16901,24100,38235,70840,133112,259310,545951,1088734,2109621
16601,24371,37898,69969,137688,270744,520208,1072824,2092272
16592,24795,40596,72476,140101,271459,535555,1075473,2105905
16606,24110,39747,73293,133535,262330,527212,1089079,2135568
15011,24385,40415,69631,136191,272857,530950,1075704,2113757
16457,24861,38084,71572,140497,267019,526842,1078849,2118107
14990,25451,38459,72856,132491,263012,540775,1078964,2112985
16402,24740,39150,72862,139382,262512,546709,1075335,2100603
16699,24737,38921,73275,132890,270670,526517,1070939,2086067
16435,25131,40275,69326,132360,271981,534859,1061911,2164606
15101,24772,40169,69445,138627,271287,538102,1077880,2133964
15149,24804,38133,69680,135615,265854,537606,1075131,2116058
16315,24947,38147,69524,132385,270144,541118,1055319,2131491
15295,24973,37983,70037,132649,271274,524852,1073562,2092614
15088,25299,38171,69881,135560,272241,536039,1068347,2112484
16590,25615,40647,69788,138269,272912,541170,1065921,2134658
15196,24918,40064,69900,132540,270731,539393,1063037,2131443
15378,25170,38043,69777,132800,262028,532895,1085674,2108791
15281,25229,39517,69704,136303,263548,539557,1069870,2110326
15198,25072,38211,70946,135582,269513,529255,1088281,2108094
15582,25162,39579,69224,132645,271193,541469,1078752,2141805
15346,24831,38126,69209,137311,266094,537499,1074828,2085273
16803,24517,38123,69195,132700,268928,526820,1072121,2111556
16653,23856,38311,71696,136470,260367,540159,1072791,2172294
16357,24818,40083,71777,132258,267193,537826,1069680,2112424
16050,24571,37874,71481,132678,270034,521725,1083881,2110324
16211,24114,38183,69606,132829,271279,527665,1082446,2142510
16220,24625,41376,71102,139174,269272,537776,1068069,2128383
16450,23773,40800,71235,132583,269905,537386,1077648,2130682
16486,23783,38720,70821,132653,261392,543218,1071405,2140430
