b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
14043,11752,13602,12851,15778,14183,13534,12073,25722
14005,11245,13384,13022,15483,14078,13187,11647,22078
13501,11482,13316,12894,15900,14399,13037,11316,19389
13819,11500,13260,12915,16102,14427,12735,11483,18637
13790,11648,19280,12859,14496,12303,12672,11609,18225
13974,11286,13712,12771,15824,12219,13113,11807,35138
13828,11338,13595,12677,14390,12487,13248,11545,25091
14046,11058,13363,12944,15920,12252,12927,11605,21280
13859,11099,16782,12570,15987,13988,12769,11635,25996
14171,11561,14172,12535,15647,12735,12585,11560,27937
13785,11347,13143,12508,15903,12446,12881,11899,36016
14158,11503,36514,12551,15879,12281,13153,11611,25676
13804,11320,31763,12318,15814,13326,13085,11721,20708
14252,11767,31035,12782,14198,13635,13233,11648,18816
14154,11927,30506,12444,12912,12361,13049,11676,17961
14155,11406,31601,12558,13174,12317,12787,11613,17593
14083,11326,31105,12394,13042,13635,13302,11653,35498
14204,11382,30455,12556,12971,12963,12735,27089,27487
13893,11147,39476,12380,12893,13912,13318,17805,21595
14224,11400,29102,13741,12887,12885,12736,13429,20498
14176,11191,28378,12281,13004,12425,13140,12440,19527
14085,11183,28346,12871,13048,12860,12609,11920,19055
14058,11369,28115,12373,12851,19788,12926,11460,36687
13919,11312,27883,12517,13289,12678,13002,11800,26627
13753,11433,28338,12484,12795,12660,13058,11979,21092
13193,12110,26329,12236,21375,12703,12937,11522,20533
13624,12029,26348,12259,12874,12484,12870,11929,18068
13251,11092,26384,12481,13279,12823,13023,11871,20964
13356,11327,26395,12508,13137,12267,12909,12035,39618
13811,11372,37071,13302,13133,13920,12923,11828,28813
13688,11416,26918,12526,13326,13534,12869,11831,20861
13358,11033,26195,12655,13287,12458,13156,11820,19013
13492,11088,24497,12421,14230,12485,12932,11572,18400
13721,11175,24197,12429,13153,12429,13069,11856,17887
13680,11031,23972,12033,13014,12584,12891,26277,40079
13976,11246,24471,12305,12932,12705,12774,17456,36606
21142,11361,24524,12210,12683,12175,12710,13012,40380
13949,11096,24827,12679,12888,12433,12706,12468,21270
14093,11300,24819,12204,14830,12431,12563,11856,18830
13898,11201,24655,12586,15887,12528,13028,11935,18470
