x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
56430971,58408824,59013483,57219352,59946948,57601405,60459837,71721247,67786496
56769544,56797201,57278312,57450581,58477291,57592225,59064566,64384827,70446903
55911633,57754930,56846373,56876406,55829194,57452058,60850023,70366509,90586818
56398512,57205091,56739134,56882049,55869056,57606356,62109023,77667820,68532137
56511607,56766882,58505215,58047976,55971411,57496638,61908281,96183277,88125167
56447803,56700987,58739457,57972065,56161458,57665165,63964037,101394338,73871324
56702240,56769275,56464270,59293064,55895924,57385273,62274809,71361149,87610494
56556791,56889211,56754851,57858685,55956640,57726492,61551973,62469634,73745750
56527001,56512601,56764443,56790226,55783433,57480469,61965881,75468169,147083649
55712580,56752267,60680645,57937338,56627124,58808937,59407152,69414903,81434075
57730910,56455722,60594677,57750438,56576552,60719402,58726568,61330636,87374812
58826821,56821180,57914810,57087323,56395884,60301086,59509502,74521748,73096603
56046633,57518337,56579391,56900420,56603294,59506809,61719160,71843575,69211295
56371830,57892096,56562189,57250486,56513704,66088407,59052042,61699561,116834500
56260877,56188124,56952361,57001327,56703178,78350130,58507769,73413783,74643083
56296871,56666908,58956939,57113346,60298760,63659937,59645317,68567088,90904499
56420774,57000608,57265191,56947642,60621107,58781138,60888188,60254006,70220840
57606047,57398165,56979821,57373880,60168077,58500701,57907166,73793418,69698919
55692707,56790365,56586383,56973366,56857468,58607392,58551136,67397958,115561716
56544680,56672314,56501442,56813424,57894629,58459785,60066322,63070401,72232431
56626668,56672479,57550747,56988575,57064588,58206599,60346528,78932841,104737368
56646164,56638558,56931347,57231917,57058607,57259279,58635277,69775358,74328684
57227619,57376793,56609325,57394066,57225627,57168059,58876408,60813861,89988105
57779494,56957449,56524430,56855183,59916088,57394488,59753013,69963309,75099226
57454286,56547472,57555309,57033952,57369684,57212014,58451284,69098997,74112329
56994428,56445174,56778450,57919540,57340715,57058163,58690946,60939763,87921072
55680088,56296515,56507223,59202114,57474955,56934271,59820076,70698566,72355851
55969704,56457818,57193808,59658722,57719281,56940642,59927006,68104541,88014403
55743109,56901911,58692562,58639690,56971696,57142513,58354505,61667092,71829740
56021696,57079423,57683186,58106172,57230004,56864114,58659320,72485090,84573148
55621510,56755115,57844539,57406954,60071039,56939171,58622181,71988493,72368998
55731123,56820583,57093167,57329455,56957784,56850891,58786583,69272621,80790328
55831784,56550841,56722096,58479471,56782971,56865304,58652714,81723544,69100155
55920501,58325430,56743112,56732493,56427967,56510411,59755740,70704751,78770338
56502103,57118202,56652095,56885822,56188655,56179218,61024795,62740350,70202454
55704624,56728107,57790412,57180338,56247851,55983283,60969514,69329805,82035137
57575836,58044092,57811767,57218184,56171477,57458016,62939925,67239271,71914751
56928991,57717894,57357691,57306555,55945314,56303142,61181101,59337920,86712165
57296041,56931395,57707525,57278919,56166137,56643236,61107018,69928673,71166522
58088379,57611928,57052445,57693164,59237997,56137773,60427258,68593480,80518947
57219449,56507711,56716960,57173116,63759753,55767587,60463623,62205972,71973729
56707508,56530320,56732212,56992584,60485662,56492358,60538130,123497124,80322811
56778402,57386743,56668646,56750484,59283581,56300443,90511286,99235121,73164391
56640965,56729229,57599059,57836888,59066175,56101716,68745822,101535735,85033073
56668652,56957985,57106094,57934576,60221958,56823845,61069765,76697118,69929226
57095964,57023215,58010987,59206692,60468299,56797131,62519260,74417865,79693406
88858373,56681370,56585606,57350777,60188159,58529019,65200925,70127024,69050417
88686133,56657670,56795922,57297815,60255129,56859702,62008183,98814659,65770651
88969513,56506237,57458361,57198311,60108726,57135244,61387064,75249510,85413754
88839188,56789980,56423171,56950379,60095775,57083065,58565603,62261456,70045434
89218619,56985314,56531903,56715425,59892351,57063818,58448209,67114148,83338640
88801880,56616067,57096617,57166262,60715062,57245373,58587738,68539301,74209199
89600630,57396886,57434193,57126633,61410592,56866746,61831815,61086097,81214995
88505999,57004839,57142202,56933625,61513296,56460998,60058575,66017913,69948827
88448465,56649225,56770097,56761380,61409847,56212747,58575837,68037212,69045625
90898005,56585785,56567098,57975066,61542163,56222682,59610485,62078624,119845207
90132247,56409343,56515074,57173394,60886251,55989797,61929809,68932989,109823233
89130503,56585301,57152757,58536673,60206708,59794102,61084516,71776764,117155402
89163145,57671216,57100881,57848850,60277776,58848163,62425700,65024716,111259097
88852188,55590141,55899658,57211653,60605543,59805689,82575057,68595987,120575790
88704634,55772082,56524810,57192912,78278273,60523298,61196855,68626631,111550587
88731204,55757932,56432313,57245859,69345181,60079300,60976540,60847215,119997612
88781074,55773782,57526969,56377970,60799809,60250943,60859817,66937679,111409637
89066929,55798544,57206874,57145463,59036632,60802981,61119390,68124062,116531652
88368385,56649407,55892639,57470581,58088518,61020369,60610720,61463885,111337114
88989883,57185623,56498858,58654438,58364252,58041871,60374497,66730757,123624245
90367288,56553423,56773424,57076494,58248640,57446118,61157907,67905769,112634626
89260785,57691388,57595221,58237088,57694495,57654962,62311034,60692213,120046413
88858934,58083701,56915953,59107096,57358500,57359524,62409244,66381439,100554327
88611347,56999793,56647502,59715733,60708417,57699278,62245027,68023091,115394996
88643043,56911753,57209214,59708066,60747980,57269401,60961149,60922094,107494289
88696744,56892500,55770111,58103157,60552846,57761359,60773910,66727430,126639105
89870036,56571165,55840153,58065244,60585204,57440364,61762407,67813531,116343143
116954297,56350149,55793675,57855567,60174117,58694043,62183423,61011187,103639469
83961186,56582201,56581310,58109503,58287415,58089673,59916450,68207320,101724939
62949924,58113905,56779133,57910665,57187540,58342845,58623278,73334203,79180810
58937952,55806036,56634304,59750545,57509144,57454792,58513137,64515243,92326306
57826849,56095732,56625098,59371016,57740121,57625897,58343088,70759838,72865977
56905453,56487531,57447344,56539025,57597962,57491795,62108352,72185249,83991397
56923498,56382092,56847373,56180645,57529038,57704715,60363526,64187421,72750294
56885801,56778336,56544816,56457380,57938111,57408409,58687750,69496800,84139720
56623277,57336786,58123301,56177439,57188040,57637342,58881190,71618221,71851003
57522173,56927453,57551549,55985677,58255206,57255446,61080341,64535743,80724415
56937496,56407381,56139540,56901072,58504727,57748392,62274121,75616587,75539185
56739907,56850822,56854046,56656767,58050333,57309570,58457415,73953267,146174007
56627246,57099799,58608183,58028485,57747747,57654357,58518863,61872548,109118226
56507068,55846845,55686703,57620431,57345448,56505830,60149422,66625258,87069511
56638658,55658688,55800633,57827621,57582510,56399861,62849161,68534134,140197598
56125641,56727506,55915686,57631495,60373127,56772073,67127745,61269647,88813949
55823337,59738059,58886162,57302962,60756083,57642229,58395079,68145046,83902317
56966648,59687891,56830267,57049556,74150356,57455541,59186068,68902355,74108647
56942495,60151713,56706083,58073273,80473784,57787459,60343541,61196086,85570079
56405429,59747078,58538311,56162111,59818251,57355587,58501107,67058461,71449856
56687502,60073690,55949706,56172105,56802000,57433625,58249489,68023129,81950710
56343285,57654494,56762671,56331660,56922475,57743781,59081821,61240631,71277454
56268904,57766585,59363585,57068071,56530179,57419934,60642570,75144789,69957441
55668916,57111824,58104415,56498451,55929537,58332985,59812337,71885711,68028946
