x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
393704,470237,425481,631134,507448,2532695,1873759,4565850,12597847,15744931,27927317,135950266,87894921,257409630,647287837,675381333,976824483
383909,488914,422561,606637,494833,1152882,1600036,4366433,11301376,16881041,25876737,130014636,87807384,253725265,622042395,735211182,977489367
412281,454934,426342,589237,500200,1074920,2413006,4839422,12580028,15801520,27995139,130205456,87500252,252712600,625586169,683851492,979332189
405341,482262,431377,626887,491194,1646427,1773559,4165681,11401211,15427536,25717139,152345100,87737281,250682852,636496390,636685207,979924122
385160,429402,425353,581824,499950,1085379,2688763,4699411,12546641,15828512,28197208,135319696,87618453,251840456,670817733,690713923,973574434
392859,465270,418585,598541,506982,2424983,1906899,4210100,10698161,15416829,25617957,131275596,87489755,248841414,629921186,663475136,977790152
375861,470777,418820,590783,519630,1142361,1605355,4642858,12518305,16697224,28002885,131967037,87439994,250960147,640226023,666078904,973654174
404411,471261,419520,570475,485685,1150008,2372442,4202130,11456681,15415794,25731157,131863651,87643411,248926506,751965209,714689422,981015590
621461,412394,398672,580432,489610,1717744,1932592,5237544,12514976,15999883,28156977,132091240,87872502,254103939,643855505,724182218,974741576
761098,473204,416140,576607,516994,1090143,2704974,4456148,11099063,15432929,25566341,131921363,87561950,249966847,645577324,646868839,980750445
707425,448180,431053,591611,495591,2436037,1989433,5393429,12825062,15745246,28303946,131956293,88027955,248338581,643237978,721835866,975574310
715609,423105,421005,537761,508621,1116671,1850414,4337287,11439441,15382158,25455438,131942654,88274464,267375701,629146316,684721528,980430881
673883,456717,431742,594111,497851,975380,2432527,5199037,12697894,15733946,28268779,132164553,87893021,261127818,646752378,715863872,974769574
711346,464894,410634,552680,495110,1646062,1908484,4387055,11394511,13435193,25720445,134627560,87298779,261400590,632933312,756657638,976828163
710291,460503,413462,553502,502446,1031406,2778420,5325008,12629562,20795880,27979060,131282265,87777277,261467823,643715156,716200812,976435857
707588,407232,419909,560220,509766,2248825,1955282,4410913,11302349,15397546,25470520,132133603,87275976,257752330,643519516,658163472,985013905
659074,465855,414022,516260,495732,1080099,1771606,5350622,12773454,14794991,28093472,131224930,88106161,260244105,653637350,624340147,980108231
661684,468437,414892,517922,500409,1000160,2556399,4387508,11470279,16130961,25293000,131838158,89062098,263975470,637068047,625541304,975510340
669180,387520,442733,536221,534532,1644829,1943966,5384428,12708234,15814607,28062113,132169224,87791856,261703401,659877324,635538436,989453152
625699,444316,414776,526346,495219,971802,2943384,4468538,11482748,13479201,25800612,131984763,87059362,258039935,640126853,716058532,979094143
660215,437326,379624,521363,506233,2402075,2002283,5532929,12717976,16751365,28203664,132167067,88096254,259603185,643183824,651234357,979998566
659018,416568,409771,542676,514451,1204065,1810791,4455902,11519075,15432228,25554195,131669267,90627086,258172551,620703484,739951797,980287189
671837,456908,406773,535577,491006,1058007,2568023,5353788,12643077,14479357,28345300,132364445,88071575,262070576,639081176,683370152,976511636
670542,455172,413114,518794,488389,1507985,1998606,4350866,10743211,16076114,25603587,132363888,87461427,259570375,638286017,683728534,976412223
673815,448039,407867,522502,509078,1029639,2998179,6710642,12786152,15929858,28046898,132658004,87614792,260230543,644799007,722825639,976162771
615764,402032,414401,511367,477436,2321361,1944053,4495214,11399427,13469791,25691503,132290628,87618049,261198339,634166027,672295425,981189003
671554,419292,404784,516170,486043,1151226,1832674,5354616,12489616,16468695,28130597,132299158,88176465,258406566,665037640,700405138,982466078
638981,436141,385748,545186,513057,1124962,2536314,4441467,11479753,15446036,25499939,132029731,126939302,258594467,639800353,722927191,978874717
642251,412064,414051,510642,477065,1610647,1963668,5365732,12642663,14679235,28141480,131815038,134601671,259388429,644517260,634876276,976973386
639347,422990,413877,502306,492157,959777,2865873,4462961,9482309,16097739,25217838,132214430,134600935,245168224,641956547,673170915,983695589
627966,438613,413591,509642,507775,2390681,1942071,5487214,12578819,15816216,28349917,131395933,136436122,259562283,643539890,705174172,973702363
631518,449594,413268,504487,478811,1107416,1873188,4362656,11089421,15487954,25429696,134149098,135275731,259072390,646756487,690696562,981786727
632086,420872,429461,509992,485597,991427,2628645,5441003,10679391,15746161,28190026,132248690,134051060,259402608,627841765,712652773,977180029
645337,425034,412738,532132,510589,1570811,1938631,4394396,7402610,15373664,25773427,132094646,134404820,258553482,571127357,712180835,981727463
625190,433458,426599,508486,490581,991150,2770162,5519865,10326827,15786541,28293800,132302462,134846092,259912085,645700114,718848317,973774772
606776,427961,423051,497176,493018,2370590,1873628,4387049,11015565,15568729,25841174,133050048,135620994,259241275,611311627,711882429,981159780
615066,429425,418740,519792,501093,993460,1598402,4706419,12664056,15763672,28530892,132299944,135493572,259834081,640804178,640246564,972974134
603611,445069,436801,487288,514105,928615,2383709,3947880,11130876,15384579,25669919,132408732,134380766,252449795,621321759,734115871,976718303
604412,386225,419672,478918,506979,1535218,1732030,4507709,11768735,15777050,28044098,134787676,134912301,260720148,626133850,700529878,978118266
611460,402359,412995,514663,519883,996921,2796782,3942734,11355069,15346983,25653583,132884808,134622255,258478365,619655686,704409844,978431050
611302,391170,412947,498183,475751,2375648,1766573,5210578,12437655,15812932,28266840,132472568,129780731,257963787,640685590,690413457,973162244
618905,403513,455226,475555,495134,1063397,1607996,4331477,9639880,15458536,25701802,132984720,134410021,258367629,640198344,691588417,980082519
560341,413046,425976,496486,503241,982431,2261316,4936218,12577928,15828567,27274991,131781343,135347674,259620041,627599380,702098240,980387694
564619,393893,410779,475015,495528,1428473,1752459,4260968,11440703,15364255,25843301,134323470,136410100,258249775,641205976,637154355,977600067
551921,390371,410672,482833,496421,921134,2999771,4705063,12669785,15743026,28271893,138179407,135443693,260125134,550553677,640533424,975973395
562739,393737,416461,487960,505301,2284396,1906625,4206331,11317482,15546252,25496919,132418855,136390113,253674260,650844760,696502991,975349947
525863,407137,423870,471200,492877,1018626,1579838,4650995,12942510,15741122,28073689,132231575,131060131,259848030,581595976,688264925,979537873
581952,386292,419674,476876,509332,1058245,2324475,4266434,11125625,15386520,25546418,135990861,87379166,259085667,629430978,713195702,982443263
579151,394567,417051,485330,510965,1563103,1720954,4550240,12613887,15805139,28194095,132158099,87011041,256046640,603005956,636506160,979403341
