FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
270820,305121,302860,436647,527657,865424,3512016,8770122,17318433,27696288,47217945,417672629,212472875,337134852,2797831839,1503756537,2647755724
277513,292006,301243,428463,562063,952881,5583874,8633510,16631888,25519864,45615106,418668717,212721989,336407224,2701062903,1433289627,2636815388
285098,286949,303785,435523,531141,1006089,3897190,9631478,17195209,28117601,46952016,406612062,210293329,336921563,2815150172,1368427179,2698048524
277252,300445,305621,435465,567375,1025808,5594919,9298762,16192520,25527855,45445002,411485641,213401740,336568012,2990273914,1326141865,2647672129
274785,316682,306530,518553,508593,958499,3994396,9232257,17525960,27678633,47277603,410555121,205001330,338010863,2863667906,1331769029,2649781766
299027,319033,323439,457593,575736,1035373,3923220,9032460,16436803,25582835,45794651,407614584,210868821,334812107,2813254697,1329348255,2647740356
275822,315321,336730,441930,510371,994961,5267583,8986686,17479109,27879580,47242064,406489516,203751570,335525187,2763856930,1335542981,2824311198
279586,321984,295742,438534,554879,971408,3966864,9012000,16858076,25568030,46184714,412175854,204050914,337398700,2729918735,1328527183,2813872710
288244,298043,305125,1209684,553447,979509,5257569,8846149,17050068,27813181,47207216,407335325,199223908,335502696,2756013120,1329667435,2862170160
264924,326818,303850,428718,578290,987650,4056955,8713293,16764045,30182236,45715469,409542418,169921003,336033953,2742218773,1325968967,2639258915
270891,306054,313429,427820,718681,1010097,5687293,8703344,17750615,30786030,47115096,410062986,170481295,369841518,2821415832,1331554055,2647130317
282157,302025,292579,421984,831395,991367,5019406,8706277,16731116,25638096,45492611,412271159,171103821,339203483,2799788963,1329276789,2645436715
269390,317527,295489,402080,728316,911660,3630359,8625163,17611740,28174024,47465896,409664659,170692262,337271491,2778084491,1384361545,2645705961
284152,306596,311773,433756,585242,951244,5423824,8639233,16931133,25401657,45766249,411043626,169577186,335163883,2904552522,1366274408,2642217694
288688,301162,294003,416601,548997,1033859,4032998,8490710,17253009,27857756,47153245,410807626,171215137,337852630,2768465081,1330205730,2651867284
