x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
324423,299078,428066,495179,559404,801245,1158116,4322146,7803045,21179706,21367514,38663488,71299563,124122162,313423590
313084,292225,431968,487898,939405,787728,1135556,4297079,7389007,20962832,21523477,38546692,70708126,126311299,337164838
324279,290729,413633,487769,647791,793519,1069214,4271805,7661326,21385934,21387116,38833749,71291269,123723444,362715521
312938,292131,447654,478255,605139,785032,1729102,4318401,7387950,21822437,21545294,38386804,89517011,124619092,358454601
313071,290767,436463,476589,609096,793666,1416884,4460030,7766352,21099919,21612101,38289866,71413808,126214603,314373040
312978,298228,445633,503018,588074,807783,1313379,4630223,7448128,21806714,21635847,38382148,71506566,126619177,326219556
313120,290740,439870,500369,579641,788964,1239308,4731498,7793569,27428185,21597330,38561681,71532802,125309443,353173950
311581,290364,433034,468312,576819,784601,1268000,4599879,7413717,25830951,21500798,38313106,71618583,127307237,339691171
317694,358703,436999,471935,581254,792262,1245926,4578653,7779396,22436355,21427644,38424710,71407329,125192744,297584851
321418,297645,440337,493326,570028,794349,1248799,4577386,7406142,20923575,21547444,65426162,106328030,122548258,355194394
314118,289182,423134,503589,553577,784840,1209516,4594075,7670730,19970258,21530799,56033987,70809810,124157690,343843792
323682,299268,445863,485418,563332,772798,1207779,4689113,7392221,21315578,21501076,38677326,110121797,126191965,310510629
