SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
700025,1210644,2167352,4209571,8057638,16829460,31465673,66417445,131855610,258390998
695972,1222299,2168917,4273970,8073048,16181869,31228649,65885976,128621381,258348927
695269,1237679,2172960,4207500,8033726,18891579,31731742,66592409,131449644,258334131
705547,1206530,2169133,4165263,8063113,17070930,31422442,65763259,127561598,269655500
700911,1222727,2163471,4211753,8090588,16094984,33744773,66575440,131665067,260894391
705980,1233127,2169654,4183226,8056212,18068596,31409973,65824647,128498601,258701887
710700,1218722,2157212,4227367,8103266,26675168,31303879,66589211,131676515,258157957
706586,1219616,2148087,4202977,8042069,19696690,31794025,65832417,127754812,260002069
695495,1226403,2176483,4217105,8077895,17629651,31471082,66613907,131694705,258581157
709326,1203869,2153789,4163956,8065417,16184739,33758854,64426329,128775387,252613789
709316,1220226,2148640,4246026,8027006,16353320,31509122,67258630,131746401,259536765
711467,1216456,2176506,4131492,8081054,16872712,31234913,66721267,128885457,258598693
699588,1207492,2162353,4160419,8073367,16210338,32006130,64444541,131646405,258072688
701155,1215360,2174061,4138400,8135131,17768626,31670266,67163680,128782623,258379325
707461,1210671,2188709,4134128,8142772,16878313,31336889,66643943,131804045,258309033
699051,1205118,2189384,4110655,8079810,17841424,31617184,65621247,125664707,258315000
698906,1214305,2176450,4155712,8174982,16716677,34076236,66768153,132070095,258173837
704736,1216858,2182951,4117610,8105436,16128366,32209391,64388505,130466017,258467042
697692,1209530,2157517,4149125,8057973,17827004,31616211,67111135,128806767,252107903
706404,1209012,2179512,4162993,8145039,16601069,31477445,66735038,130131906,260108059
699748,1203296,2174422,4132858,8133771,16179018,31774125,64472911,126885879,257942890
702881,1210826,2185437,4117216,8113677,16063196,31766811,67051915,131042958,251895655
705929,1209464,2164759,4143032,8144723,16004482,32652011,66628324,131693048,260343336
703828,1200272,2166714,4124248,8064023,17740038,31602260,64349823,125869758,258761096
703157,1205568,2181464,4141559,8116049,16742996,31663183,67156782,132058762,252174181
701391,1203374,2166832,4280632,8126612,16114291,31630362,66446080,130724415,261120161
701612,1196630,2173809,4122885,8170743,17790245,31426440,65758306,129584480,258269144
705441,1193334,2199249,4124221,8152654,16631955,32030253,66628898,130491541,258581723
701080,1204912,2166958,4147897,8120337,16157854,31679435,65786219,128705587,258296768
710605,1196474,2177664,4106773,8149526,16071325,31416688,66390008,130517959,264908734
704827,1191646,2155883,4158106,8132779,15975415,31572849,65805179,129861676,261743148
717653,1204369,2163735,4139817,8140854,17665588,34030705,66420256,134043607,258977269
696263,1199292,2206538,4145431,8109075,16658448,31661929,65833707,129854260,251745602
710231,1191279,2171657,4092045,8092951,16217067,31557087,66493227,130659882,260410716
698110,1198776,2161953,4182643,8169712,16031462,32042409,65721590,130018421,258528260
703532,1199348,2183364,4130240,8100657,16026490,31606498,66436923,130701130,251317720
697538,1188300,2172815,4174080,8054957,17717777,34034420,65933733,130230381,260688452
704662,1199685,2167469,4142277,8192090,16588571,31663999,66537546,130664666,259859969
703481,1195136,2178858,4150434,8167784,16160069,31444143,65870614,129979855,251334779
699452,1185896,2170444,4096898,8093461,17662113,32238708,66595504,130522115,261470239
696975,1210906,2155465,4232729,8086133,16884058,31673649,65835904,129728067,258704507
699746,1190064,2163960,4198445,8065221,17935790,31139407,66746090,130241882,259303154
702374,1186106,2158486,4214705,8053662,16869667,31671625,65892002,129761013,258777253
697454,1195078,2150183,4354464,8077234,15974950,31478907,66785356,130327452,251567148
704562,1197034,2196508,4318601,8045533,17556249,32354073,64424305,126669157,260496419
704213,1199812,2161931,4172886,8139570,16432519,31413866,67251472,130907237,259315162
705068,1197862,2158006,4232247,8122979,15869933,31482438,66414793,131311634,251615645
699784,1197494,2171745,4178634,8067692,17201126,31371272,65692350,128396835,260869795
693751,1185204,2164295,4212796,8060038,15844953,31224151,66630115,131502703,258580534
699197,1200747,2156850,4241657,8208123,15847528,31789271,64930787,125713595,251807184
693898,1201829,2166144,4170493,8018031,16405839,31416570,65256469,131790917,260407142
704537,1188651,2159740,4150900,8083534,15841242,33760809,65829143,130488540,259175861
697555,1199955,2175088,4188075,8045171,17088585,32024004,66477306,129841231,251983373
707328,1235719,2181877,4094385,8058888,15861519,31435762,65695873,130354418,261167504
705200,1217395,2157382,4145257,8102052,15846310,31242745,66628779,129617880,258462921
699530,1238531,2153307,4126574,8039919,16237566,31484117,65870802,130282322,259185323
695931,1242566,2165125,4156782,8058435,15831163,32406967,66727865,126879180,259055184
697220,1206762,2150402,4093380,8076750,17061409,32218340,64543870,130927791,259728269
698225,1225857,2165869,4159278,8031910,15839833,31483094,67403836,131488934,258676428
703734,1242866,2175981,4105621,9649495,15809826,31284632,66628462,125752909,259603530
701378,1213490,2155900,4156402,8089542,16281069,31489016,65375315,131858955,258822413
702234,1249920,2163381,9044237,8076102,15815519,32336845,67412431,130324387,258941781
706381,1261406,2166646,5960687,8137652,15868455,31540963,66595752,126941772,258546719
697020,1237874,2148567,4162123,8019804,15906481,31471682,64428643,130643432,258889339
