SHIR FPGA b16,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144
379253,458426,654377,1069172,2020998,5281871,10621008,16580863,37411198,74040644,140243239,280441056,558573191,1129414733
385913,498691,687584,1044504,2957478,4269327,10634097,19468452,36971798,74488692,141297558,278837099,555698674,1115954060
397987,482345,667426,1079367,2045563,3610683,10543289,16494902,35912574,74089056,138537337,278840471,558166022,1118937953
379788,490192,645103,1065344,1927231,5592672,10553374,19459035,36492982,74357448,140088861,278271304,557658531,1132923809
376036,471832,685405,1049774,2383926,3698654,11217749,16430209,35976537,73515521,138564300,278092396,557816131,1127179219
396429,529736,679392,1084350,2066358,3318775,10242219,19448121,36328372,74630696,140837426,278131522,561271574,1127450191
395830,501254,658638,1040938,1934214,4054731,11003969,16413507,35624409,74325170,139643739,280067718,557374621,1125948080
386282,499932,684739,1061490,1945853,3550997,10196393,19434721,36492482,74509777,140803091,277840110,559723367,1121423462
377334,462259,661892,1050025,3322326,5644109,10901365,16571007,35691903,73998302,139973215,280498600,561141800,1136539926
402540,502400,655443,1061952,2492497,4103093,10405622,19461167,36576446,74894050,140326320,279662937,562188045,1124301115
370447,474371,668724,1028376,2094387,3649817,11317234,16507862,35960448,74159198,140877047,278286585,560653254,1123516633
364587,521412,671119,1000972,1959083,5750880,10265886,19305558,36601666,75087108,139672004,279758603,555550606,1126612754
367879,479648,644253,1042627,2043028,3776785,11232616,16332576,36072282,73825918,139851041,279984890,557852259,1126253058
375004,476496,662042,1009880,2957478,3539624,10541152,19451014,37358474,74272329,141048420,279355514,562107997,1125256493
370670,493239,659017,1072504,1969246,4022739,11102403,16539872,35420843,74047500,139907845,278701884,561529633,1138573386
361863,476665,675787,984330,1935710,3601787,10347193,19355334,35823260,73403022,139574922,281912774,560165080,1131613148
381361,455346,708892,1036153,2370677,4508918,11093295,16377464,35306210,76511781,139575426,284724665,563377171,1131560292
374653,481040,654117,1018309,1942712,3583614,8577919,19452540,36382515,78527563,139568536,279440487,591124352,1136010190
384455,477976,643658,1022373,1897601,3615444,10828953,16504064,35581665,73658070,139553762,280563257,566912044,1147158005
374528,490256,663960,1049329,1942407,4075805,10663680,19538322,36163401,74360116,141420491,278651327,567913855,1125851965
365104,475321,626421,1027898,3321373,3672717,8616791,16735674,35415710,73973666,141057655,280212507,566039160,1150237341
370743,519589,654679,1050074,2664649,5826415,11566117,19717700,35634568,75147230,140211990,279448724,566975206,1126971692
392487,474998,659009,1066677,2163684,3922565,11608879,16889900,28402817,74105321,140261233,279734373,567158538,1137953114
381489,522276,637288,1037010,2103815,3552601,8575548,19975699,37708280,74705803,140684768,280842657,570474479,1128923889
362857,494381,650008,1022164,2152726,4290918,11522041,16704785,35478651,73492703,138228221,278398478,566533813,1137530575
394902,492895,669625,1058518,3199055,3733888,11621759,19885372,29220062,74871103,141114442,278250077,569933271,1134085987
365271,493473,651365,1046304,2140491,5821410,10899098,16603437,36867700,73598325,140839682,281224751,566093890,1124243675
392246,493579,647969,1059967,2121521,3891937,10912990,19951324,35849213,74019144,140273350,280616956,567069330,1131812777
