b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
15654,12159,13637,15628,34661,52608,89398,127752,218045,407052,828374,1782648,3039061,6501465
16061,12109,13473,14687,32441,54011,78970,125303,225765,406754,780535,1708270,3076387,6390545
15281,13215,13207,14976,32757,52440,77946,125988,217884,414405,786277,1581411,3189816,6399575
15813,12627,14535,14760,37069,64657,77650,133942,213046,408959,786598,1760860,3048727,6369519
15826,14349,13609,14544,31881,54170,89567,127252,230011,407155,777907,1784510,3058095,6476298
14976,13009,14866,14893,33376,57013,75851,124543,216414,407515,787582,1790364,3039564,6425305
16425,13228,13946,15918,31690,66157,85962,123238,215987,401555,787627,1756316,3039627,6433241
21247,13590,13223,14784,34874,65165,78971,126208,235823,397358,762183,1582343,3064142,6413121
20814,12949,13966,14946,34533,59069,77085,126262,227266,401260,774046,1560181,2943856,6504295
17233,13647,13441,16684,36704,54528,78680,141060,223153,399413,782044,1611919,2893158,6426834
15427,13196,13264,15158,36354,55794,86965,125500,220080,404427,791529,1879572,2975546,6483583
16656,17577,13418,15027,32054,55999,80172,127209,229868,406141,780638,1605205,2940624,6425242
16004,15279,13569,14429,36954,54134,77359,124083,225012,400497,778564,1600005,2852675,6509923
15351,14287,13384,14507,31562,53811,77878,127549,222336,396966,788974,1584009,2898446,6484093
15396,14481,13364,14400,33442,54841,77038,128455,213496,407836,799034,1592389,2880986,6386339
15811,14479,13308,14598,27260,63455,90761,122423,223250,401319,777592,1872156,2868423,6465204
15656,14417,13311,14382,23772,47603,74798,124525,218054,398597,821618,1887033,2884099,6544319
15710,14560,13405,14668,24470,47032,82344,127589,217648,398426,842149,1783085,2879375,6398676
15705,14138,13511,14416,22823,43497,76944,123883,215834,397861,842947,1814847,2893573,6395798
15147,14224,13059,15749,23935,45220,77668,128669,228103,409653,830476,1785329,2880593,6490038
15182,14325,14144,14395,21033,45766,79249,125552,216714,460410,831197,1593278,2892486,6389133
15283,14872,13285,14495,20334,39438,75241,123674,220967,413891,850868,1768455,2887164,6568728
14786,14431,13710,14501,20378,52546,82536,130228,215176,405735,843648,1821214,2883790,6522245
14440,14479,13300,14477,19375,60603,79059,125140,221137,400558,849206,1599476,2850364,6824869
14881,14061,13405,14690,24892,45854,77270,125958,225244,399315,840333,1592915,2894727,6377316
14929,14540,13648,16262,18249,45622,76226,126021,229925,403523,841965,1877532,2885611,6891396
14628,14450,13956,14774,18592,41063,77514,126749,222464,411189,838008,1782470,2866165,6724588
15014,15348,13727,14818,20607,42653,78089,125819,214865,408179,836084,1765951,2838462,6630452
14802,14505,13778,14862,20455,39244,78482,128292,218741,436734,840444,1571519,2855816,6525443
15238,14826,13554,14669,20038,40543,77526,123307,214547,439746,844594,1594488,2873015,6725355
20427,14867,13556,15724,20262,63006,77083,124224,216439,447188,835699,1571247,2883399,6606444
19925,14501,13378,14620,20139,52757,81036,124866,216105,440373,825155,1604408,2889853,6586369
16601,14680,13337,14356,20519,41130,78077,126089,216987,445240,841382,1700384,2876016,6746162
15586,14202,13884,14667,21830,43412,78233,123098,221385,446023,836720,1894802,3023110,6279782
16173,14501,13936,15872,19160,47196,77876,127643,217480,439319,824242,1575905,3058077,6595327
14865,14349,13421,14584,19329,41443,77586,125983,227682,433633,835908,1703769,3023533,6624728
14726,15224,13230,14831,18809,43559,77359,126427,213726,431425,838095,1573310,3019259,6464804
14774,14539,13434,14361,18658,45199,74735,127991,216553,445966,835097,1623519,3036192,6538890
14673,13413,13407,14541,19462,39076,95063,124954,224471,445456,820075,1790341,3046509,6499820
14557,12989,13506,14317,22505,39668,75948,122058,215137,433965,818884,1768540,3021261,6408404
16365,12753,13420,14476,20571,37983,77722,139862,214970,475164,830263,1837638,3024412,6417567
16095,13381,13540,14614,18625,40290,93457,125321,223921,449488,820689,1556609,3032106,7804799
15864,13565,13284,14429,18928,48435,76337,126243,214338,455870,1295224,1687574,3041276,5791500
16213,12727,14356,14602,18758,50388,91590,124890,220212,483599,814197,1581692,3019012,6416818
16229,13403,13487,14342,26375,52045,95567,127325,237946,463611,825820,1825793,3049680,5773258
16351,12827,13593,14489,32581,51205,76780,137760,215169,458025,1287849,1877066,3050317,6412481
16839,13336,15047,17254,30127,51125,75995,141421,217812,447528,757573,1714166,3034458,5700801
16287,13477,13172,15244,30784,52045,79483,127286,215969,455144,805109,1582880,3051648,6458171
16052,13222,13290,15364,35227,50725,78435,127529,216908,454831,811594,1590305,3043600,5831237
16184,13436,14102,17177,35720,62054,78009,127862,212380,442023,818198,1804687,3054345,6414895
15922,13109,14033,15702,39049,56255,77608,123517,215921,445228,815014,1692986,3046341,5749370
15363,13586,13811,14680,34458,53756,77971,128152,214699,455304,811266,1781846,3047180,6365977
15610,13805,13778,15082,30902,65498,78003,129241,216700,502070,819990,1610036,3093580,5784576
15153,13267,13566,16911,29855,62428,75061,139625,220987,487008,814235,1574076,3066281,6403962
15135,13451,13500,16159,33311,54110,78638,130367,218512,473093,812963,1525541,3047316,5781287
14713,13134,13394,15924,33055,53625,77627,126877,217395,513822,814428,1643661,3043222,6498934
14494,13789,12970,15213,35116,52521,74891,126654,214679,522318,810695,1640555,3044954,5722918
14448,12878,13142,15301,35929,53497,76180,129434,217264,509358,845323,1629827,3057915,6487093
14535,13288,12936,15584,36343,54650,78360,128703,217845,455938,831479,1510359,3055277,5915824
14713,13472,14534,15856,36044,54317,89990,124060,224518,476663,767264,1481410,3055806,6525925
14069,12830,13238,17170,36664,51080,77932,137439,217720,534114,757417,1702613,3050562,5725010
14252,13321,13334,15620,38034,54876,84800,125629,223091,484789,761331,1572648,3046195,6451810
14003,13194,13578,15538,33078,53496,77667,126687,216552,502906,756804,1879222,3048803,6520196
14087,13421,14978,15318,33308,54282,91951,127633,216876,463231,756774,1779749,3066010,6434450
14145,12934,13423,15196,35166,55559,78467,125754,228725,468654,758566,1820287,3041988,6425909
14134,13643,13458,15008,34802,53786,78107,123458,219435,438790,754419,1754065,3046584,6440338
13803,13595,13272,14911,33585,67879,75449,127406,219412,451468,812168,1838459,3059080,6390737
14008,13121,13328,14742,32779,71060,79025,123588,226995,461876,821922,1664225,3079442,6528035
13765,13653,13436,14825,33544,65085,76561,128753,217598,441224,814835,1755826,3034621,6398591
13877,13368,17776,15106,36714,59078,79537,137111,226097,435672,822857,1582907,3029376,6404929
13802,12768,13171,14807,39109,54593,74339,126649,221293,450810,814884,2214523,3032241,6419649
13968,13328,18138,14671,29198,50125,80620,127224,217987,455648,811720,1556300,2935820,6373268
13997,12935,14242,14987,28091,44672,76172,124315,225700,443692,817091,1594635,2893073,6479001
14293,13525,13833,14893,25906,45632,77529,134179,223170,449263,1167530,1610562,2893292,6480204
