SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144,SHIR FPGA 524288
293291,391243,420703,539891,873726,1358418,3107544,4853737,10430500,19290516,89429789,337102265,352073375,687250200,1332528620
335512,389822,431257,544169,842132,1371413,2570162,5015740,10711552,19270077,89381451,328303384,349005326,687415783,1332865648
382475,414323,483539,543469,874862,1393238,2473433,5015497,10091530,19186609,89669074,343180127,352290857,686413078,1332122307
347201,400011,448605,551775,843275,1376941,2463220,4938451,11012776,19200482,89720731,328395727,349863190,684957323,1336583656
352004,408533,431020,539671,887730,1358934,2453343,4948543,10045026,19313855,89288534,339498445,350547436,687674004,1325792666
343665,417280,428687,556208,908213,1366944,3034993,4855917,9782519,19272967,89680387,340541797,349602588,684721184,1339042361
356001,412991,431332,523027,926850,1401405,2500645,4883822,11089609,19320549,89552735,338529529,351888308,685586633,1332539297
349850,393549,508505,554532,917379,1351405,2521454,5656699,9825061,19282821,90024991,341127201,350503169,685783572,1344428176
330417,404841,488024,536800,929711,1409066,2474496,4979055,10590077,19260553,88918148,323897922,352326025,686582782,1341564919
336084,398291,491010,562804,897353,1377311,2497414,4833252,10612002,19335659,89209719,337653064,349054890,687440831,1325361298
340057,419230,483175,525820,899068,1413133,3059087,5469340,10005602,19205320,89054444,338253740,350903472,686131441,1340064007
338284,388116,483087,533771,832943,1383607,2535092,5018412,11068013,19191351,89482835,340198334,351362701,685825310,1334880194
331591,413190,480573,534597,839399,1381124,2468532,5645252,10006672,19279760,89622982,337822756,351236593,686333862,1334225312
347029,410643,480743,563608,810016,1374672,2426830,5029218,9869979,19310734,89886052,339656907,349980653,688551134,1339012016
328168,420356,485666,568228,836572,1435596,2434627,4823000,10797070,19325576,89208390,338487987,351777678,686691143,1337075780
335072,399350,475264,581892,816003,1381354,3102458,5551085,9999184,19268925,89693578,340865030,350681598,686750034,1356840296
343210,400528,495286,613709,835128,1364506,2554011,4959629,10753307,19249732,89710004,338776250,351717967,686409885,1340281385
336834,401616,477568,581653,841985,1394297,2529851,5620759,10438009,19296007,89467191,343319664,349539486,686407434,1327312101
330704,404927,465267,565398,825911,1367518,2479943,5142506,10041653,19157816,89814519,338609056,352509738,687332022,1361498131
346635,390254,465895,569121,864231,1389954,2508175,5039819,11055416,19289886,89615406,340643044,349911934,687730307,1340229518
277405,404777,460147,657896,860450,1366039,3112658,5852562,9919570,19206064,89509064,323065695,352002009,687552478,1328994546
287144,390261,452283,611834,831743,1388645,2543301,5084561,10222135,19285792,89536151,333527776,349785446,687792909,1340470899
278587,404018,476676,582169,829980,1382064,2506819,5787287,10575366,19324535,89793865,331277168,352177037,687868843,1338073668
293052,398389,455975,568100,822715,1395039,2551884,5197041,9724129,19439129,89643087,329324775,348988407,687812527,1343007563
275387,435764,436314,563481,880647,1374816,2590826,5021697,10561667,19297455,89060757,355749624,353010624,688583679,1323936361
280722,392463,428991,584071,810451,1405262,3694401,5518277,10540894,19378994,89502028,316640123,348741862,685839441,1362707701
