x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144,x86 inductor 524288
294237,429382,490987,350683,438951,499491,1699561,3939670,5682686,10789211,19530053,39998637,68220019,120492959,219103533,431466706
297966,419064,556706,355319,410655,528184,1005369,1724017,7660757,10880827,19790799,39132343,68159575,121749880,216640601,432634632
301808,425684,547701,341098,409540,560046,2457755,4189133,7463288,10788841,19573663,39961339,67623185,121196436,224405694,427376341
297620,404879,563914,366491,391907,501588,1781539,2565997,4932896,10779433,19873460,39056481,69910500,120974080,217363589,430974115
296798,414363,493960,359980,390432,513518,1044143,4035003,7693032,10781091,19544285,39640951,67740567,120918208,211744209,429158149
296955,410275,585001,372102,408095,509458,2483664,2646970,5680279,10954966,19719704,38492539,69794699,121288403,215723444,426498273
304093,404250,515776,350730,387397,599711,1760623,2522363,5685098,10858571,19743328,39689541,68250183,121541816,213003015,405057793
309622,413435,562345,353637,389444,602429,1039117,2410109,7829775,10922721,19961697,39021251,68814902,121970908,212405877,413928870
291765,433186,499678,376742,424949,659405,2565532,3946938,5755246,10923717,19563150,39712582,67735360,121600686,217014424,429889969
309317,423685,562541,366498,396088,621023,1760805,1789342,7557719,10899451,19821324,38625643,69717279,121444445,215786409,420355177
289970,420068,515167,354581,387446,601401,995021,4107323,7630364,10805927,19468290,39860063,68103493,121764044,220527445,432328845
302122,420999,551919,370418,418806,740706,2530840,2499266,4951079,10888484,19765455,39264072,70175456,122264052,216018801,427406343
310413,433282,516273,361292,422359,831791,1745268,3958881,7721478,10802803,19666518,39936401,68335924,121212472,213740602,420990928
422292,419102,572143,394448,376635,617134,1003190,2788910,5717112,10722473,19841555,39010276,69126742,121073211,211252821,434218068
365833,420018,461178,358852,384167,693411,2451606,2536860,5759462,10812615,19703770,39868628,68342764,120789428,216928698,432827483
389531,443021,579698,368139,363419,642813,1750474,2397152,7746551,10872402,19738993,38833303,70112316,123316902,215052354,424930335
357131,486115,558134,354720,368392,626021,1103105,4528556,5767755,10824781,19541757,39889476,68088707,123888538,212441004,404376514
362715,460648,552905,379031,405841,668990,2440658,2463228,7517478,10894787,19695253,38858112,68821367,120441656,216888177,424331942
360931,443358,530378,363841,393830,650303,1764173,4670309,7626099,10798437,19613260,39737796,68477988,120383611,217580576,422698544
349970,439978,561590,385350,394209,663693,1054452,3043420,4920100,10729816,19854038,38575585,69963875,121002577,219280784,404309940
376160,453157,494357,340943,389007,614357,2494455,4424054,7877159,10869009,19516823,39888258,68968446,121479312,205661849,399954627
