FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144,FP32 inductor 524288
316341,423830,439319,438110,434502,605227,1863225,3509338,5966033,12088276,21793784,39752041,73071128,132273828,214226004,438533761
298852,386514,450681,416283,435568,620393,1202258,5780176,4975056,12316668,21817503,39971201,72868829,131275588,228103536,426627972
312367,382390,452860,405838,471001,610262,2724003,3244905,4671936,12474555,21763919,39462468,72864801,129319727,216295548,427677824
304694,396581,432376,420711,430371,627818,1893598,5682594,5823821,12285361,21293192,39939290,72589719,129324092,233403533,429407108
312216,399954,410738,421762,464752,622834,1127402,3190005,7443977,12298684,21744461,40019283,72038579,129927390,234391042,438803188
304311,388162,411702,414644,428388,605764,2656318,3155599,5920514,12258269,21793552,39682575,72514553,129740593,225740149,433794735
309570,400700,426331,416596,433993,603533,1847833,5353614,7390851,12088758,22150744,40083518,72354666,130567071,233016811,428246470
303459,386039,433245,415409,418580,598037,1068716,2986086,5820023,12495917,21905636,39940264,72375025,128249221,230464734,432440150
306064,372739,417850,433012,438668,608284,2392032,5321538,6600569,12527317,22041017,40588640,72011137,129423648,232625899,420796357
302764,392331,392305,426490,418750,624408,1822737,2758874,5810366,12452641,21891193,39650094,72298601,130947742,217515596,417814030
307848,378499,434267,415724,440719,613096,1051603,2844298,7102992,12458590,21356815,40661350,72629834,130012993,226896481,416275548
307041,396444,431350,420028,435569,609883,2384340,5082971,5814403,12445940,21889454,39670832,72029429,129881802,217016895,416091925
303490,386979,400793,416002,440004,615099,1757356,2932947,6821402,12479067,22088782,39996836,71952490,130300791,232964970,467357904
318383,425213,428607,414649,428269,641102,1036979,5231309,5913317,12631562,21946187,40521145,72287644,130974292,227004708,439171406
306090,396317,403823,407898,427250,648571,2416136,2723056,6810725,12795693,22042350,39921331,72323687,130394414,236852006,444531879
314980,381862,408613,408425,437340,611486,1779240,2847595,6465888,12462734,21907861,40189440,70050707,130226459,236725744,426064300
301050,387285,405642,423267,464151,611364,1032015,5030879,7272778,12487391,22140440,40236840,72003268,130206620,237153121,434250394
315383,394574,411356,423817,530768,612837,2395254,2766096,5865565,12490190,21792232,40414798,70831305,129775889,232410144,435577545
303343,384939,416192,410683,468843,619197,1798613,5197927,7124868,12574954,21771747,40334908,72212185,129778721,209572917,416057012
315372,389994,418143,420422,456848,619438,1007646,2655748,5824778,12435062,22109966,40435676,70439550,131049226,234120083,442854784
310709,387123,407366,416136,504815,617119,2366723,2728669,7574725,12342600,22242832,40204179,70111419,129612254,237464435,444647891
301434,387240,408701,399421,1123360,605330,1765095,5113868,5929671,12528230,21892142,40428572,72256937,129736118,232014143,444041489
315544,379611,424676,398480,456436,615071,1033137,2719810,7430202,12497164,22050636,40587785,72172289,131385477,232772862,422793107
306501,372585,434526,414402,461173,615617,2412611,5148508,5806529,12474398,21956371,40268474,70469043,130345389,236001074,436425409
309704,390275,406948,407453,471380,616097,1743730,2743330,7724341,12353940,21954429,39720925,72634590,131150112,236246292,444440241
307848,379029,412002,422860,432479,606597,1040357,2759756,5914113,12401080,22013314,39629381,72685749,129838150,217228605,431314016
311326,417172,400671,408283,454829,603353,2368172,5233009,7469866,12459488,22185836,39621121,71960640,131252304,231056081,415549285
305041,400777,391922,414429,451029,629630,1798513,2786633,5938984,12403001,21944123,39817842,72659142,130418281,231545791,430821363
303130,397606,433499,419759,455696,621710,1056136,5071927,8014997,12677556,22016062,39721069,72488715,130994693,221046139,437476266
304487,400938,412892,449910,441939,625489,2380180,3616775,5961706,12412964,21963501,39692379,72743831,130168047,218113782,420389777
307072,407315,427830,410998,452554,608634,1783082,3502046,5511253,12454139,21895633,39758988,71201360,132192372,234901999,434563989
303953,417268,437005,417726,435089,606119,1036959,5873301,6788293,12476481,22102317,40007287,72569169,130822202,236367521,425795465
303400,409451,421417,423977,496306,591332,2401186,3303048,5877358,12613236,22092855,39682214,72546273,131686321,221013601,417332586
346309,400951,432687,419875,434072,583406,1767811,5697301,7792125,12468750,21560654,39676849,70566717,131429192,226069046,439647750
343883,391824,433035,420280,465773,612155,1155454,3130537,7911486,12279029,21947829,39832383,72600485,130884504,232521385,442426795
311142,380484,436593,413303,441668,574677,2662547,3815911,8568938,12214119,21998252,39623095,72604596,130421150,224779145,424022540
312539,394551,418386,423281,456236,580769,1909511,6313445,6122603,12375448,21888741,39635213,72992969,130854448,221348779,447049212
304948,400572,429707,428728,464167,569795,1184234,3600485,8324487,12206469,21816933,39769440,71247485,129263771,236270128,431113833
