FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
152094,255326,450450,761079,1407178,2543437,4905225,9299893,17661746
151609,259891,435027,744572,1393875,2502420,4858291,9292932,19272439
153391,256487,430524,742740,1428136,2627139,4894618,9366886,17816601
152441,258711,439948,760125,1444558,2597157,4922556,9355819,17586097
153125,254381,429235,758419,1437187,2612195,5026507,9389878,23092181
153443,259817,424841,731008,1392422,2574067,4862919,9298684,17471871
153872,263913,433987,745563,1410893,2569503,5468021,9311200,17836490
154130,259357,425094,753072,1408045,2561302,5000160,9357303,19333416
156793,254982,432806,748742,1406600,2594663,4884394,9363682,17632006
158318,261255,440028,760228,1401348,2554192,4868855,9324209,17652859
153789,258829,428256,743300,1430959,2534552,4780878,9713877,19255118
157706,254232,446199,745447,1424755,2569516,4851270,9312556,17523007
